idade,estado_civil,dia_da_semana,duracao,qtd_contatos_campanha,qtd_contatos_total,resultado,outlier
55,casado,seg,349,1,0,nao,0
33,casado,seg,337,2,0,nao,0
55,casado,seg,272,1,0,nao,0
42,casado,seg,208,1,0,nao,0
50,casado,seg,193,1,0,nao,0
51,casado,seg,212,1,0,nao,0
38,casado,seg,165,2,0,nao,0
49,casado,seg,1042,1,0,sim,1
38,solteiro,seg,20,1,0,nao,0
31,divorciado,seg,246,1,0,nao,0
41,casado,seg,529,2,0,nao,0
39,casado,seg,192,1,0,nao,0
49,casado,seg,1467,1,0,sim,1
34,casado,seg,188,2,0,nao,0
35,casado,seg,180,2,0,nao,0
57,casado,seg,48,1,0,nao,0
60,casado,seg,213,2,0,nao,0
33,casado,seg,545,1,0,nao,0
42,casado,seg,583,1,0,nao,0
45,casado,seg,221,1,0,nao,0
42,casado,seg,426,1,0,nao,0
53,divorciado,seg,287,1,0,nao,0
37,solteiro,seg,197,1,0,nao,0
44,casado,seg,257,1,0,nao,0
54,casado,seg,229,1,0,nao,0
49,casado,seg,55,3,0,nao,0
54,casado,seg,400,1,0,nao,0
52,divorciado,seg,197,1,0,nao,0
52,divorciado,seg,190,1,0,nao,0
43,solteiro,seg,21,1,0,nao,0
34,casado,seg,300,2,0,nao,0
35,casado,seg,123,2,0,nao,0
42,casado,seg,293,1,0,nao,0
43,casado,seg,325,1,0,nao,0
60,divorciado,seg,514,1,0,nao,0
58,casado,seg,849,2,0,nao,1
35,divorciado,seg,194,1,0,nao,0
55,casado,seg,212,2,0,nao,0
37,casado,seg,337,2,0,nao,0
36,casado,seg,286,1,0,nao,0
52,divorciado,seg,247,2,0,nao,0
57,divorciado,seg,518,1,0,nao,0
56,casado,seg,364,1,0,nao,0
48,divorciado,seg,178,1,0,nao,0
40,casado,seg,98,1,0,nao,0
49,divorciado,seg,439,1,0,nao,0
41,casado,seg,139,1,0,nao,0
45,casado,seg,79,1,0,nao,0
32,casado,seg,175,1,0,nao,0
42,casado,seg,262,2,0,nao,0
50,casado,seg,61,1,0,nao,0
31,divorciado,seg,78,1,0,nao,0
56,casado,seg,102,2,0,nao,0
41,casado,seg,579,1,0,sim,0
37,casado,seg,143,1,0,nao,0
41,casado,seg,677,1,0,nao,1
35,casado,seg,267,1,0,nao,0
37,casado,seg,345,1,0,nao,0
52,casado,seg,185,1,0,nao,0
39,divorciado,seg,207,1,0,nao,0
39,casado,seg,69,2,0,nao,0
56,casado,seg,100,2,0,nao,0
34,casado,seg,125,2,0,nao,0
45,casado,seg,461,1,0,sim,0
43,solteiro,seg,240,1,0,nao,0
56,casado,seg,70,1,0,nao,0
39,casado,seg,193,1,0,nao,0
53,casado,seg,136,1,0,nao,0
38,divorciado,seg,73,1,0,nao,0
42,casado,seg,528,1,0,nao,0
42,casado,seg,541,1,0,nao,0
35,solteiro,seg,338,1,0,nao,0
40,casado,seg,163,1,0,nao,0
51,casado,seg,87,1,0,nao,0
60,casado,seg,301,1,0,nao,0
56,casado,seg,46,1,0,nao,0
39,divorciado,seg,52,1,0,nao,0
56,casado,seg,204,1,0,nao,0
40,casado,seg,155,1,0,nao,0
36,casado,seg,98,1,0,nao,0
51,casado,seg,71,1,0,nao,0
51,casado,seg,243,1,0,nao,0
43,solteiro,seg,186,2,0,nao,0
59,casado,seg,579,2,0,nao,0
24,solteiro,seg,165,2,0,nao,0
37,solteiro,seg,163,2,0,nao,0
40,casado,seg,46,1,0,nao,0
42,casado,seg,559,3,0,nao,0
39,divorciado,seg,2033,1,0,nao,1
37,casado,seg,85,1,0,nao,0
38,casado,seg,506,1,0,nao,0
56,divorciado,seg,114,2,0,nao,0
40,casado,seg,114,2,0,nao,0
54,divorciado,seg,843,2,0,nao,1
43,casado,seg,181,1,0,nao,0
36,casado,seg,427,1,0,nao,0
45,casado,seg,292,1,0,nao,0
42,solteiro,seg,192,1,0,nao,0
43,casado,seg,93,3,0,nao,0
46,casado,seg,128,2,0,nao,0
44,casado,seg,107,1,0,nao,0
51,solteiro,seg,303,2,0,nao,0
28,casado,seg,81,1,0,nao,0
37,casado,seg,270,1,0,nao,0
34,casado,seg,228,1,0,nao,0
46,casado,seg,240,1,0,nao,0
42,casado,seg,673,2,0,sim,1
36,casado,seg,233,3,0,nao,0
54,casado,seg,102,1,0,nao,0
57,casado,seg,461,1,0,nao,0
51,casado,seg,250,1,0,nao,0
54,casado,seg,130,1,0,nao,0
49,casado,seg,252,1,0,nao,0
34,casado,seg,138,1,0,nao,0
41,casado,seg,412,1,0,nao,0
38,solteiro,seg,179,2,0,nao,0
45,divorciado,seg,19,2,0,nao,0
42,casado,seg,228,2,0,nao,0
34,solteiro,seg,55,1,0,nao,0
48,casado,seg,717,1,0,nao,1
37,casado,seg,313,1,0,nao,0
34,solteiro,seg,289,1,0,nao,0
40,casado,seg,683,2,0,nao,1
43,casado,seg,1077,1,0,nao,1
33,casado,seg,146,2,0,nao,0
32,solteiro,seg,167,1,0,nao,0
39,casado,seg,356,2,0,nao,0
43,casado,seg,277,1,0,nao,0
44,casado,seg,172,1,0,nao,0
35,solteiro,seg,218,1,0,nao,0
35,solteiro,seg,217,1,0,nao,0
35,casado,seg,67,1,0,nao,0
36,solteiro,seg,291,1,0,nao,0
35,solteiro,seg,248,1,0,nao,0
36,solteiro,seg,256,1,0,nao,0
55,divorciado,seg,286,1,0,nao,0
59,casado,seg,477,1,0,nao,0
57,casado,seg,611,2,0,nao,1
39,casado,seg,471,1,0,nao,0
39,casado,seg,381,2,0,nao,0
30,solteiro,seg,251,1,0,nao,0
30,solteiro,seg,408,1,0,nao,0
50,casado,seg,287,1,0,nao,0
40,casado,seg,322,3,0,nao,0
35,casado,seg,216,2,0,nao,0
43,casado,seg,366,2,0,nao,0
36,solteiro,seg,210,1,0,nao,0
46,casado,seg,288,1,0,nao,0
40,casado,seg,168,1,0,nao,0
58,casado,seg,132,1,0,nao,0
42,casado,seg,64,2,0,nao,0
35,solteiro,seg,209,2,0,nao,0
43,casado,seg,410,3,0,nao,0
45,casado,seg,177,1,0,nao,0
39,casado,seg,580,2,0,nao,0
50,divorciado,seg,165,1,0,nao,0
32,divorciado,seg,127,2,0,nao,0
39,casado,seg,357,1,0,nao,0
52,casado,seg,175,1,0,nao,0
44,casado,seg,300,1,0,nao,0
56,casado,seg,136,1,0,nao,0
48,casado,seg,125,2,0,nao,0
33,casado,seg,189,2,0,nao,0
43,casado,seg,213,3,0,nao,0
57,casado,seg,238,2,0,nao,0
36,solteiro,seg,124,1,0,nao,0
34,casado,seg,18,1,0,nao,0
34,solteiro,seg,730,2,0,nao,1
30,casado,seg,40,1,0,nao,0
33,divorciado,seg,181,2,0,nao,0
32,solteiro,seg,79,1,0,nao,0
36,solteiro,seg,142,2,0,nao,0
36,solteiro,seg,389,1,0,nao,0
33,solteiro,seg,702,1,0,nao,1
40,divorciado,seg,151,1,0,nao,0
41,casado,seg,211,1,0,nao,0
51,casado,seg,117,1,0,nao,0
36,casado,seg,232,3,0,nao,0
28,casado,seg,408,2,0,nao,0
53,casado,seg,370,3,0,nao,0
58,casado,seg,179,2,0,nao,0
45,casado,seg,46,1,0,nao,0
43,casado,seg,200,1,0,nao,0
33,casado,seg,50,1,0,nao,0
33,casado,seg,181,1,0,nao,0
27,solteiro,seg,119,1,0,nao,0
42,casado,seg,361,1,0,nao,0
43,divorciado,seg,73,3,0,nao,0
42,casado,seg,67,2,0,nao,0
27,solteiro,seg,350,1,0,nao,0
34,solteiro,seg,150,2,0,nao,0
31,solteiro,seg,332,2,0,nao,0
54,divorciado,seg,611,2,0,nao,1
40,casado,seg,58,3,0,nao,0
52,casado,seg,151,1,0,nao,0
47,divorciado,seg,89,2,0,nao,0
49,casado,seg,152,1,0,nao,0
32,solteiro,seg,611,2,0,nao,1
49,solteiro,seg,110,2,0,nao,0
50,casado,seg,463,1,0,nao,0
34,casado,seg,962,1,0,nao,1
55,casado,seg,102,2,0,nao,0
47,solteiro,seg,10,4,0,nao,0
51,casado,seg,118,3,0,nao,0
47,casado,seg,92,2,0,nao,0
56,casado,seg,143,3,0,nao,0
53,casado,seg,189,3,0,nao,0
36,casado,seg,75,2,0,nao,0
42,divorciado,seg,189,2,0,nao,0
44,divorciado,seg,55,2,0,nao,0
39,casado,seg,935,3,0,sim,1
37,solteiro,seg,56,2,0,nao,0
60,casado,seg,5,2,0,nao,0
36,casado,seg,225,2,0,nao,0
42,divorciado,seg,125,2,0,nao,0
31,casado,seg,286,2,0,nao,0
53,divorciado,seg,206,2,0,nao,0
45,casado,seg,164,2,0,nao,0
37,solteiro,seg,98,2,0,nao,0
47,casado,seg,446,2,0,nao,0
49,divorciado,seg,742,2,0,nao,1
36,casado,seg,120,2,0,nao,0
35,divorciado,seg,122,3,0,nao,0
38,casado,seg,362,4,0,nao,0
38,solteiro,seg,357,2,0,nao,0
50,divorciado,seg,200,2,0,nao,0
59,casado,seg,107,2,0,nao,0
43,casado,seg,267,2,0,nao,0
42,casado,seg,248,2,0,nao,0
40,casado,seg,215,2,0,nao,0
46,casado,seg,209,2,0,nao,0
57,divorciado,seg,205,2,0,nao,0
42,casado,seg,261,3,0,nao,0
41,casado,seg,83,2,0,nao,0
54,divorciado,seg,106,3,0,nao,0
27,solteiro,seg,106,2,0,nao,0
36,casado,seg,108,2,0,nao,0
58,casado,seg,214,2,0,nao,0
40,casado,seg,358,2,0,nao,0
34,solteiro,seg,453,2,0,nao,0
33,divorciado,seg,364,2,0,nao,0
56,casado,seg,136,2,0,nao,0
42,casado,seg,173,2,0,nao,0
43,casado,seg,241,2,0,nao,0
54,solteiro,seg,224,3,0,nao,0
53,solteiro,seg,148,2,0,nao,0
42,solteiro,seg,230,2,0,nao,0
40,casado,seg,199,3,0,nao,0
54,casado,seg,196,2,0,nao,0
40,solteiro,seg,111,4,0,nao,0
26,solteiro,seg,231,3,0,nao,0
33,casado,seg,316,3,0,nao,0
35,casado,seg,240,2,0,nao,0
36,casado,seg,669,3,0,nao,1
29,solteiro,seg,425,2,0,nao,0
36,casado,seg,121,2,0,nao,0
35,casado,seg,174,5,0,nao,0
50,solteiro,seg,88,5,0,nao,0
46,casado,seg,313,3,0,nao,0
49,casado,seg,135,4,0,nao,0
42,solteiro,seg,152,2,0,nao,0
36,solteiro,seg,402,3,0,nao,0
55,casado,seg,221,2,0,nao,0
41,casado,seg,213,2,0,nao,0
57,casado,seg,144,3,0,nao,0
32,solteiro,seg,158,3,0,nao,0
49,casado,seg,220,3,0,nao,0
57,casado,seg,325,2,0,nao,0
58,divorciado,seg,254,2,0,nao,0
52,casado,seg,503,2,0,nao,0
50,divorciado,seg,680,2,0,nao,1
41,solteiro,seg,421,4,0,nao,0
33,casado,seg,130,3,0,nao,0
57,casado,seg,164,2,0,nao,0
48,casado,seg,174,3,0,nao,0
55,casado,seg,113,2,0,nao,0
38,casado,seg,195,2,0,nao,0
38,casado,seg,347,3,0,nao,0
53,casado,seg,208,2,0,nao,0
43,solteiro,seg,404,4,0,nao,0
36,solteiro,seg,396,2,0,nao,0
32,casado,seg,98,2,0,nao,0
33,casado,seg,229,3,0,nao,0
58,casado,seg,350,2,0,nao,0
40,divorciado,ter,88,3,0,nao,0
57,casado,ter,379,2,0,nao,0
45,casado,ter,168,3,0,nao,0
42,casado,ter,190,3,0,nao,0
46,casado,ter,158,1,0,nao,0
36,casado,ter,210,1,0,nao,0
41,casado,ter,102,1,0,nao,0
57,divorciado,ter,306,1,0,nao,0
49,casado,ter,64,1,0,nao,0
56,divorciado,ter,218,1,0,nao,0
37,casado,ter,77,1,0,nao,0
37,casado,ter,54,1,0,nao,0
46,solteiro,ter,344,1,0,nao,0
22,solteiro,ter,195,1,0,nao,0
43,casado,ter,202,1,0,nao,0
49,casado,ter,286,1,0,nao,0
41,casado,ter,278,1,0,nao,0
38,solteiro,ter,189,1,0,nao,0
33,casado,ter,83,1,0,nao,0
49,casado,ter,18,1,0,nao,0
30,solteiro,ter,184,2,0,nao,0
33,casado,ter,235,1,0,nao,0
34,solteiro,ter,290,1,0,nao,0
30,solteiro,ter,133,1,0,nao,0
59,casado,ter,318,1,0,nao,0
59,casado,ter,437,1,0,nao,0
41,casado,ter,402,1,0,nao,0
48,casado,ter,501,4,0,nao,0
28,solteiro,ter,1201,1,0,sim,1
44,casado,ter,1030,1,0,sim,1
59,,ter,253,1,0,nao,0
50,casado,ter,149,1,0,nao,0
35,casado,ter,144,1,0,nao,0
42,casado,ter,69,1,0,nao,0
45,casado,ter,243,1,0,nao,0
36,casado,ter,769,2,0,nao,1
56,casado,ter,135,3,0,nao,0
29,divorciado,ter,231,1,0,nao,0
41,casado,ter,442,2,0,nao,0
42,casado,ter,199,1,0,nao,0
52,solteiro,ter,455,1,0,nao,0
48,casado,ter,152,1,0,nao,0
31,casado,ter,124,1,0,nao,0
43,casado,ter,424,1,0,nao,0
36,casado,ter,43,1,0,nao,0
42,casado,ter,154,1,0,nao,0
52,divorciado,ter,393,1,0,nao,0
39,casado,ter,203,2,0,nao,0
36,casado,ter,140,2,0,nao,0
42,casado,ter,326,1,0,nao,0
41,casado,ter,483,1,0,nao,0
55,casado,ter,259,1,0,nao,0
30,casado,ter,227,1,0,nao,0
57,,ter,673,1,0,nao,1
45,casado,ter,576,1,0,nao,0
51,casado,ter,180,2,0,nao,0
39,solteiro,ter,90,1,0,nao,0
47,casado,ter,505,1,0,nao,0
27,casado,ter,245,1,0,nao,0
34,solteiro,ter,186,1,0,nao,0
57,casado,ter,208,1,0,nao,0
43,casado,ter,623,1,0,nao,1
49,casado,ter,180,1,0,nao,0
39,casado,ter,496,3,0,nao,0
38,casado,ter,118,1,0,nao,0
49,casado,ter,102,2,0,nao,0
58,casado,ter,342,1,0,nao,0
43,casado,ter,225,1,0,nao,0
50,casado,ter,185,3,0,nao,0
31,casado,ter,276,1,0,nao,0
43,divorciado,ter,87,1,0,nao,0
43,casado,ter,744,1,0,nao,1
30,solteiro,ter,262,1,0,nao,0
27,solteiro,ter,271,1,0,nao,0
51,casado,ter,141,1,0,nao,0
37,casado,ter,198,2,0,nao,0
46,casado,ter,150,1,0,nao,0
35,casado,ter,241,1,0,nao,0
47,divorciado,ter,196,1,0,nao,0
46,casado,ter,149,1,0,nao,0
40,casado,ter,264,1,0,nao,0
26,casado,ter,246,1,0,nao,0
32,divorciado,ter,309,2,0,nao,0
45,casado,ter,140,1,0,nao,0
34,casado,ter,175,1,0,nao,0
47,casado,ter,136,1,0,nao,0
42,casado,ter,1623,1,0,sim,1
57,casado,ter,50,1,0,nao,0
57,casado,ter,101,1,0,nao,0
38,casado,ter,144,1,0,nao,0
57,casado,ter,238,1,0,nao,0
28,solteiro,ter,354,1,0,nao,0
60,casado,ter,451,2,0,nao,0
48,casado,ter,159,1,0,nao,0
47,casado,ter,170,1,0,nao,0
40,casado,ter,243,1,0,nao,0
51,casado,ter,141,2,0,nao,0
48,solteiro,ter,112,1,0,nao,0
54,casado,ter,262,2,0,nao,0
40,casado,ter,53,1,0,nao,0
44,solteiro,ter,134,1,0,nao,0
42,divorciado,ter,204,4,0,nao,0
52,casado,ter,678,1,0,nao,1
31,solteiro,ter,182,1,0,nao,0
32,casado,ter,162,1,0,nao,0
44,casado,ter,177,1,0,nao,0
39,casado,ter,27,1,0,nao,0
57,casado,ter,699,3,0,nao,1
52,casado,ter,358,1,0,nao,0
42,casado,ter,1677,1,0,sim,1
42,solteiro,ter,529,1,0,nao,0
43,casado,ter,310,1,0,nao,0
31,divorciado,ter,47,1,0,nao,0
29,casado,ter,379,1,0,nao,0
57,divorciado,ter,30,2,0,nao,0
44,casado,ter,472,1,0,nao,0
59,casado,ter,113,1,0,nao,0
39,casado,ter,114,1,0,nao,0
57,casado,ter,116,1,0,nao,0
41,casado,ter,448,1,0,nao,0
37,solteiro,ter,264,1,0,nao,0
38,casado,ter,169,1,0,nao,0
42,casado,ter,145,1,0,nao,0
49,casado,ter,288,1,0,nao,0
54,casado,ter,381,1,0,nao,0
36,casado,ter,176,2,0,nao,0
32,solteiro,ter,215,1,0,nao,0
35,casado,ter,278,1,0,nao,0
45,casado,ter,188,2,0,nao,0
56,casado,ter,174,2,0,nao,0
34,casado,ter,226,2,0,nao,0
41,casado,ter,111,2,0,nao,0
41,casado,ter,157,2,0,nao,0
36,casado,ter,46,1,0,nao,0
32,solteiro,ter,49,1,0,nao,0
31,casado,ter,374,1,0,nao,0
38,casado,ter,349,1,0,nao,0
35,divorciado,ter,325,1,0,nao,0
53,casado,ter,233,2,0,nao,0
51,casado,ter,531,1,0,nao,0
56,casado,ter,153,1,0,nao,0
33,casado,ter,80,1,0,nao,0
33,casado,ter,198,1,0,nao,0
51,divorciado,ter,568,1,0,nao,0
39,casado,ter,918,1,0,sim,1
45,casado,ter,82,1,0,nao,0
40,solteiro,ter,198,3,0,nao,0
60,solteiro,ter,211,1,0,nao,0
33,casado,ter,120,1,0,nao,0
47,casado,ter,269,1,0,nao,0
48,casado,ter,128,1,0,nao,0
43,casado,ter,166,2,0,nao,0
37,casado,ter,211,1,0,nao,0
50,casado,ter,369,1,0,nao,0
59,casado,ter,91,1,0,nao,0
32,casado,ter,267,2,0,nao,0
42,solteiro,ter,198,1,0,nao,0
52,casado,ter,371,2,0,nao,0
42,casado,ter,288,2,0,nao,0
42,casado,ter,221,1,0,nao,0
40,casado,ter,427,1,0,nao,0
38,casado,ter,310,1,0,nao,0
39,casado,ter,158,1,0,nao,0
39,casado,ter,198,1,0,nao,0
38,casado,ter,145,1,0,nao,0
47,solteiro,ter,247,1,0,nao,0
30,solteiro,ter,102,1,0,nao,0
38,divorciado,ter,179,2,0,nao,0
39,divorciado,ter,73,1,0,nao,0
44,casado,ter,263,2,0,nao,0
36,casado,ter,342,2,0,nao,0
41,casado,ter,41,1,0,nao,0
41,casado,ter,13,1,0,nao,0
35,casado,ter,79,2,0,nao,0
41,casado,ter,358,1,0,nao,0
36,casado,ter,162,1,0,nao,0
35,solteiro,ter,150,1,0,nao,0
33,solteiro,ter,26,1,0,nao,0
38,solteiro,ter,250,1,0,nao,0
33,casado,ter,792,1,0,nao,1
55,casado,ter,146,1,0,nao,0
36,solteiro,ter,440,1,0,nao,0
57,casado,ter,289,1,0,nao,0
32,solteiro,ter,242,2,0,nao,0
30,solteiro,ter,123,1,0,nao,0
43,casado,ter,161,2,0,nao,0
46,casado,ter,268,2,0,nao,0
35,divorciado,ter,259,2,0,nao,0
34,solteiro,ter,26,1,0,nao,0
50,casado,ter,153,1,0,nao,0
39,solteiro,ter,424,2,0,nao,0
39,casado,ter,375,1,0,nao,0
42,casado,ter,179,2,0,nao,0
57,casado,ter,383,1,0,nao,0
45,casado,ter,440,1,0,nao,0
40,casado,ter,195,1,0,nao,0
42,casado,ter,1297,3,0,sim,1
40,casado,ter,217,1,0,nao,0
38,solteiro,ter,87,1,0,nao,0
39,casado,ter,427,1,0,nao,0
41,casado,ter,189,1,0,nao,0
39,casado,ter,502,1,0,nao,0
41,casado,ter,260,1,0,nao,0
45,casado,ter,209,1,0,nao,0
35,divorciado,ter,179,1,0,nao,0
35,casado,ter,179,1,0,nao,0
49,casado,ter,69,1,0,nao,0
36,casado,ter,105,2,0,nao,0
23,solteiro,ter,266,3,0,nao,0
43,casado,ter,87,2,0,nao,0
49,casado,ter,524,2,0,nao,0
36,casado,ter,155,2,0,nao,0
51,casado,ter,162,2,0,nao,0
56,casado,ter,316,4,0,nao,0
45,casado,ter,352,2,0,nao,0
42,casado,ter,695,3,0,nao,1
41,divorciado,ter,76,4,0,nao,0
32,casado,ter,535,2,0,nao,0
46,casado,ter,310,2,0,nao,0
37,casado,ter,390,3,0,nao,0
53,casado,ter,369,1,0,nao,0
30,casado,ter,112,2,0,nao,0
45,casado,ter,79,1,0,nao,0
24,solteiro,ter,140,2,0,nao,0
45,casado,ter,315,1,0,nao,0
34,solteiro,ter,262,2,0,nao,0
41,casado,ter,174,2,0,nao,0
59,casado,ter,424,2,0,nao,0
45,casado,ter,135,1,0,nao,0
54,casado,ter,36,5,0,nao,0
32,casado,ter,1906,3,0,nao,1
33,casado,ter,219,2,0,nao,0
32,casado,ter,135,1,0,nao,0
34,solteiro,ter,147,2,0,nao,0
46,casado,ter,407,2,0,nao,0
57,casado,ter,402,4,0,nao,0
42,casado,ter,209,1,0,nao,0
48,casado,ter,92,2,0,nao,0
58,divorciado,ter,208,1,0,nao,0
34,casado,ter,193,1,0,nao,0
32,solteiro,ter,65,1,0,nao,0
48,casado,ter,284,2,0,nao,0
47,casado,ter,285,1,0,nao,0
31,casado,ter,231,1,0,nao,0
32,solteiro,ter,278,1,0,nao,0
32,solteiro,ter,389,1,0,nao,0
36,casado,ter,158,1,0,nao,0
53,casado,ter,78,2,0,nao,0
37,casado,ter,258,5,0,nao,0
50,casado,ter,87,1,0,nao,0
46,casado,ter,147,2,0,nao,0
41,casado,ter,635,1,0,nao,1
43,solteiro,ter,289,1,0,nao,0
51,casado,ter,170,3,0,nao,0
38,casado,ter,802,1,0,nao,1
41,casado,ter,381,2,0,nao,0
39,casado,ter,218,4,0,nao,0
52,casado,ter,57,2,0,nao,0
37,casado,ter,304,2,0,nao,0
41,casado,ter,241,3,0,nao,0
46,divorciado,ter,230,1,0,nao,0
47,casado,ter,79,4,0,nao,0
35,casado,ter,262,3,0,nao,0
38,casado,ter,392,2,0,nao,0
30,solteiro,ter,201,2,0,nao,0
46,casado,ter,145,1,0,nao,0
30,casado,ter,252,1,0,nao,0
35,solteiro,ter,329,1,0,nao,0
58,casado,ter,328,2,0,nao,0
40,casado,ter,191,2,0,nao,0
34,casado,ter,116,2,0,nao,0
30,solteiro,ter,246,1,0,nao,0
38,casado,ter,532,2,0,nao,0
55,solteiro,ter,293,1,0,nao,0
55,casado,ter,416,3,0,nao,0
45,solteiro,ter,37,2,0,nao,0
36,casado,ter,132,2,0,nao,0
32,solteiro,ter,530,2,0,nao,0
35,casado,ter,175,3,0,nao,0
55,divorciado,ter,90,5,0,nao,0
49,casado,ter,524,2,0,nao,0
29,casado,ter,29,3,0,nao,0
34,casado,ter,311,2,0,nao,0
54,casado,ter,412,1,0,nao,0
36,solteiro,ter,211,2,0,nao,0
30,solteiro,ter,312,3,0,nao,0
33,divorciado,ter,392,1,0,nao,0
37,casado,ter,191,1,0,nao,0
36,casado,ter,284,2,0,nao,0
33,casado,ter,328,1,0,nao,0
32,casado,ter,100,1,0,nao,0
32,casado,ter,226,1,0,nao,0
50,casado,ter,507,1,0,nao,0
39,casado,ter,333,2,0,nao,0
51,divorciado,ter,128,2,0,nao,0
33,casado,ter,322,2,0,nao,0
33,casado,ter,202,4,0,nao,0
56,casado,ter,92,2,0,nao,0
39,divorciado,ter,205,2,0,nao,0
33,solteiro,ter,739,3,0,nao,1
59,divorciado,ter,273,2,0,nao,0
42,solteiro,ter,339,3,0,nao,0
43,casado,ter,262,1,0,nao,0
35,casado,ter,308,3,0,nao,0
46,casado,ter,467,2,0,nao,0
27,casado,ter,245,2,0,nao,0
47,divorciado,ter,160,3,0,nao,0
31,solteiro,ter,189,2,0,nao,0
32,casado,ter,477,1,0,nao,0
54,casado,ter,65,3,0,nao,0
56,casado,ter,191,1,0,nao,0
48,solteiro,ter,196,2,0,nao,0
44,casado,ter,221,2,0,nao,0
46,casado,ter,197,2,0,nao,0
45,casado,ter,178,2,0,nao,0
43,casado,ter,221,2,0,nao,0
40,solteiro,ter,64,2,0,nao,0
56,casado,ter,75,2,0,nao,0
47,casado,ter,400,2,0,nao,0
39,divorciado,ter,378,3,0,nao,0
48,casado,ter,118,2,0,nao,0
45,casado,ter,1597,2,0,sim,1
36,casado,ter,346,2,0,nao,0
49,casado,ter,107,2,0,nao,0
46,casado,ter,60,3,0,nao,0
38,casado,ter,276,2,0,nao,0
50,casado,ter,176,2,0,nao,0
27,solteiro,ter,390,2,0,nao,0
40,casado,ter,251,3,0,nao,0
46,casado,ter,716,2,0,nao,1
40,divorciado,ter,189,3,0,nao,0
33,solteiro,ter,125,2,0,nao,0
54,casado,ter,234,2,0,nao,0
52,casado,ter,79,2,0,nao,0
53,casado,ter,13,6,0,nao,0
49,casado,ter,296,3,0,nao,0
42,casado,ter,114,2,0,nao,0
49,casado,ter,283,3,0,nao,0
40,casado,ter,109,2,0,nao,0
59,casado,ter,132,2,0,nao,0
51,casado,ter,144,2,0,nao,0
57,casado,ter,121,2,0,nao,0
38,divorciado,ter,95,3,0,nao,0
52,casado,ter,31,3,0,nao,0
26,solteiro,ter,112,3,0,nao,0
35,casado,ter,161,2,0,nao,0
51,casado,ter,87,4,0,nao,0
43,casado,ter,593,2,0,nao,0
42,casado,ter,99,2,0,nao,0
60,divorciado,ter,198,2,0,nao,0
