Country,Life expectancy , BMI 
Brazil,73.8,52
Brazil,73.6,51.1
Brazil,73.4,5.3
Brazil,73.3,49.4
Brazil,73,48.6
Brazil,72.7,47.8
Brazil,72,46.9
Brazil,71.8,46.1
Brazil,71.4,45.3
Brazil,71,44.5
Brazil,75,43.7
Brunei Darussalam,77.7,41.2
Brunei Darussalam,77.6,4.2
Brunei Darussalam,77.1,39.2
Brunei Darussalam,78.3,38.2
Brunei Darussalam,77.4,37.2
Brunei Darussalam,76.9,36.2
Brunei Darussalam,76.8,35.2
Brunei Darussalam,77.2,34.2
Brunei Darussalam,76,33.2
Brunei Darussalam,76.3,32.2
Brunei Darussalam,76.2,31.2
Brunei Darussalam,76.4,3.1
Brunei Darussalam,76,29.1
Brunei Darussalam,74.8,28
Brunei Darussalam,74.7,27
Brunei Darussalam,74.4,26.1
Bulgaria,74.5,65.7
Bulgaria,74.3,65.1
Bulgaria,74.1,64.5
Bulgaria,73.9,63.9
Bulgaria,73.7,63.3
Bulgaria,73.4,62.7
Bulgaria,73.2,62.1
Bulgaria,72.9,61.5
Bulgaria,72.6,6.9
Bulgaria,72.2,6.3
Bulgaria,72.1,59.7
Bulgaria,72.2,59.1
Bulgaria,72,58.6
Bulgaria,71.8,58.1
Bulgaria,71.6,57.5
Bulgaria,71.1,57
Burkina Faso,59.9,19.4
Burkina Faso,59.3,18.8
Burkina Faso,59,18.2
Burkina Faso,58.6,17.7
Burkina Faso,58.1,17.1
Burkina Faso,57.5,16.6
Burkina Faso,56.9,16.1
Burkina Faso,56.1,15.6
Burkina Faso,55.3,15.1
Burkina Faso,54.3,14.6
Burkina Faso,53.3,14.2
Burkina Faso,52.4,13.7
Burkina Faso,51.6,13.3
Burkina Faso,51,12.9
Burkina Faso,56,12.5
Burkina Faso,51,12.2
Burundi,59.6,18.7
Burundi,59.1,18.2
Burundi,58.6,17.6
Burundi,58,17.1
Burundi,57.4,16.6
Burundi,56.8,16.1
Burundi,56.2,15.7
Burundi,55.3,15.2
Burundi,54.8,14.8
Burundi,54.1,14.5
Burundi,53.4,14.1
Burundi,52.6,13.8
Burundi,51.9,13.5
Burundi,51.5,13.3
Burundi,51.3,13
Burundi,58,12.8
Côte d'Ivoire,53.3,28
Côte d'Ivoire,52.8,27.4
Côte d'Ivoire,52.3,26.8
Côte d'Ivoire,52,26.2
Côte d'Ivoire,51.7,25.6
Côte d'Ivoire,51.5,25
Côte d'Ivoire,51,24.4
Côte d'Ivoire,54,23.8
Côte d'Ivoire,49.9,23.2
Côte d'Ivoire,49.4,22.6
Côte d'Ivoire,48.7,22.1
Côte d'Ivoire,48.2,21.5
Côte d'Ivoire,48,2.9
Côte d'Ivoire,47.7,2.4
Côte d'Ivoire,47.8,19.9
Côte d'Ivoire,47.9,19.4
Cabo Verde,73.3,31.3
Cabo Verde,73,3.5
Cabo Verde,72.8,29.7
Cabo Verde,72.7,29
Cabo Verde,72.6,28.2
Cabo Verde,72.5,27.5
Cabo Verde,72.4,26.8
Cabo Verde,72.4,26.2
Cabo Verde,72.3,25.5
Cabo Verde,72.1,24.9
Cabo Verde,71.8,24.3
Cabo Verde,71.4,23.7
Cabo Verde,71.1,23.2
Cabo Verde,77,22.6
Cabo Verde,73,22.1
Cabo Verde,69.9,21.5
Cambodia,68.7,19.6
Cambodia,68.3,18.9
Cambodia,67.8,18.2
Cambodia,67.4,17.6
Cambodia,67,17
Cambodia,66.6,16.4
Cambodia,66.1,15.9
Cambodia,65.6,15.3
Cambodia,65,14.8
Cambodia,64.1,14.3
Cambodia,62.9,13.9
Cambodia,61.5,13.5
Cambodia,63,13.1
Cambodia,59.3,12.8
Cambodia,58.5,12.4
Cambodia,57.7,12.1
Cameroon,57.3,29
Cameroon,56.7,28.4
Cameroon,56.4,27.8
Cameroon,55.9,27.2
Cameroon,55.6,26.6
Cameroon,55.3,26
Cameroon,54.8,25.4
Cameroon,54.2,24.9
Cameroon,53.6,24.4
Cameroon,53.3,23.8
Cameroon,52.8,23.3
Cameroon,52.1,22.8
Cameroon,51.8,22.3
Cameroon,51.6,21.8
Cameroon,51.5,21.3
Cameroon,51.4,2.9
Canada,82.2,67
Canada,82,66.4
Canada,81.8,65.8
Canada,81.6,65.3
Canada,81.5,64.7
Canada,81.2,64.1
Canada,81,63.6
Canada,87,63
Canada,85,62.5
Canada,85,61.9
Canada,81,61.3
Canada,80,6.6
Canada,79.7,6
Canada,79.5,59.3
Canada,79.4,58.5
Canada,79.1,57.8
Central African Republic,52.5,22.7
Central African Republic,58,22.1
Central African Republic,49.9,21.6
Central African Republic,53,21.2
Central African Republic,49.8,2.7
Central African Republic,49.2,2.2
Central African Republic,48.6,19.8
Central African Republic,47.6,19.4
Central African Republic,46.8,19
Central African Republic,46.3,18.6
Central African Republic,45.9,18.2
Central African Republic,45.7,17.9
Central African Republic,45.7,17.5
Central African Republic,45.6,17.2
Central African Republic,45.6,16.8
Central African Republic,46,16.5
Chad,53.1,19.1
Chad,52.6,18.7
Chad,52.2,18.2
Chad,51.8,17.9
Chad,51.6,17.5
Chad,51.2,17.1
Chad,57,16.7
Chad,49.6,16.4
Chad,49.4,16.1
Chad,48.5,15.7
Chad,48.6,15.4
Chad,48.5,15.1
Chad,48.4,14.8
Chad,48.1,14.4
Chad,48,14.1
Chad,47.6,13.9
Chile,85,63.8
Chile,83,63.1
Chile,81,62.5
Chile,79.9,61.8
Chile,79.8,61.2
Chile,79.1,6.6
Chile,79.3,59.9
Chile,79.6,59.3
Chile,78.9,58.7
Chile,78.9,58.1
Chile,78.4,57.4
Chile,78,56.8
Chile,77.9,56.1
Chile,77.8,55.4
Chile,77.3,54.7
Chile,77.3,54
China,76.1,32.9
China,75.8,31.9
China,75.6,3.9
China,75.4,3
China,75.2,29
China,75,28.1
China,74.9,27.3
China,74.5,26.5
China,74.4,25.7
China,74.2,24.9
China,73.9,24.1
China,73.5,23.4
China,73.1,22.6
China,72.7,21.9
China,72.2,21.2
China,71.7,2.5
Colombia,74.8,57.9
Colombia,74.6,57.2
Colombia,74.4,56.4
Colombia,74.3,55.7
Colombia,74.2,55
Colombia,73.6,54.2
Colombia,73.6,53.5
Colombia,73.5,52.8
Colombia,73.5,52
Colombia,73.1,51.3
Colombia,73.1,5.5
Colombia,72.8,49.8
Colombia,72.4,49
Colombia,71.8,48.2
Colombia,71.5,47.5
Colombia,71.4,46.7
Comoros,63.5,24.2
Comoros,63.2,23.7
Comoros,62.9,23.2
Comoros,62.5,22.6
Comoros,62.2,22.1
Comoros,61.8,21.6
Comoros,61.3,21.1
Comoros,61,2.6
Comoros,66,2.1
Comoros,63,19.6
Comoros,60,19.2
Comoros,59.8,18.8
Comoros,59.6,18.4
Comoros,59.5,18
Comoros,59.5,17.6
Comoros,59.5,17.3
Congo,64.7,27.4
Congo,64.2,26.8
Congo,63.9,26.2
Congo,63.7,25.6
Congo,62.9,25
Congo,62,24.5
Congo,68,23.9
Congo,59.4,23.3
Congo,58.2,22.8
Congo,56.9,22.3
Congo,55.3,21.7
Congo,54.1,21.2
Congo,53.2,2.7
Congo,52.6,2.3
Congo,52.7,19.8
Congo,52.9,19.3
Cook Islands,,82.8
Costa Rica,79.6,6.5
Costa Rica,79.5,59.5
Costa Rica,79.4,58.5
Costa Rica,79.2,57.5
Costa Rica,79,56.5
Costa Rica,78.1,55.5
Costa Rica,79.2,54.4
Costa Rica,78.9,53.4
Costa Rica,78.9,52.4
Costa Rica,78,51.4
Costa Rica,78.6,5.3
Costa Rica,77.7,49.3
Costa Rica,78,48.3
Costa Rica,78.3,47.3
Costa Rica,77.5,46.4
Costa Rica,77.6,45.4
Croatia,78,63.7
Croatia,77.8,63.1
Croatia,77.7,62.5
Croatia,77.1,61.9
Croatia,77,61.3
Croatia,76.6,6.6
Croatia,76.3,6
Croatia,76,59.4
Croatia,75.8,58.7
Croatia,75.9,58.1
Croatia,75.2,57.5
Croatia,75.4,56.9
Croatia,74.7,56.3
Croatia,74.8,55.8
Croatia,74.9,55.2
Croatia,74.7,54.7
Cuba,79.1,61.4
Cuba,79,6.7
Cuba,78.7,59.9
Cuba,78.7,59.2
Cuba,78.8,58.4
Cuba,78,57.7
Cuba,78.1,56.9
Cuba,77.9,56.2
Cuba,78.1,55.4
Cuba,78,54.6
Cuba,77.2,53.8
Cuba,77.3,53
Cuba,77.4,52.1
Cuba,77.7,51.3
Cuba,76.7,5.4
Cuba,76.9,49.4
Cyprus,85,6.3
Cyprus,83,59.8
Cyprus,81,59.2
Cyprus,80,58.7
Cyprus,79.7,58.3
Cyprus,79.5,57.8
Cyprus,79.3,57.3
Cyprus,79.1,56.8
Cyprus,78.9,56.3
Cyprus,78.8,55.8
Cyprus,78.7,55.3
Cyprus,78.6,54.8
Cyprus,78.5,54.3
Cyprus,78.4,53.8
Cyprus,78.2,53.3
Cyprus,78.1,52.8
Czechia,78.8,66.1
Czechia,78.6,65.6
Czechia,78.2,65.1
Czechia,78,64.5
Czechia,77.8,64
Czechia,77.5,63.6
Czechia,77.1,63.1
Czechia,77,62.6
Czechia,76.8,62.2
Czechia,76.5,61.8
Czechia,75.9,61.3
Czechia,75.8,6.8
Czechia,75.2,6.4
Czechia,75.3,59.9
Czechia,75.1,59.4
Czechia,74.7,59
Democratic People's Republic of Korea,76,32.9
Democratic People's Republic of Korea,73,32.4
Democratic People's Republic of Korea,71,31.8
Democratic People's Republic of Korea,69.8,31.3
Democratic People's Republic of Korea,69.4,3.8
Democratic People's Republic of Korea,69,3.3
Democratic People's Republic of Korea,68.7,29.7
Democratic People's Republic of Korea,68.6,29.2
Democratic People's Republic of Korea,68.5,28.7
Democratic People's Republic of Korea,68.5,28.2
Democratic People's Republic of Korea,68.5,27.7
Democratic People's Republic of Korea,68.4,27.2
Democratic People's Republic of Korea,68.1,26.7
Democratic People's Republic of Korea,67.6,26.2
Democratic People's Republic of Korea,66.6,25.7
Democratic People's Republic of Korea,65.4,25.2
Democratic Republic of the Congo,59.8,21.6
Democratic Republic of the Congo,59.3,21.1
Democratic Republic of the Congo,58.8,2.6
Democratic Republic of the Congo,58.3,2.1
Democratic Republic of the Congo,57.9,19.6
Democratic Republic of the Congo,57.4,19.1
Democratic Republic of the Congo,56.7,18.6
Democratic Republic of the Congo,56.3,18.2
Democratic Republic of the Congo,55.7,17.8
Democratic Republic of the Congo,55,17.3
Democratic Republic of the Congo,54.3,16.9
Democratic Republic of the Congo,53.5,16.5
Democratic Republic of the Congo,52.8,16.1
Democratic Republic of the Congo,52.1,15.7
Democratic Republic of the Congo,51.8,15.3
Democratic Republic of the Congo,51.3,14.9
Denmark,86,58.8
Denmark,84,58.4
Denmark,81,58.1
Denmark,80,57.7
Denmark,79.7,57.4
Denmark,79.2,57
Denmark,78.9,56.6
Denmark,78.8,56.3
Denmark,78.4,55.9
Denmark,78.1,55.4
Denmark,78.1,55
Denmark,77.7,54.4
Denmark,77.3,53.9
Denmark,77,53.3
Denmark,77,52.8
Denmark,76.9,52.2
Djibouti,63.5,35
Djibouti,63,34.4
Djibouti,62.7,33.8
Djibouti,62.2,33.2
Djibouti,61.8,32.7
Djibouti,61.3,32.2
Djibouti,69,31.7
Djibouti,62,31.3
Djibouti,59.8,3.9
Djibouti,59.1,3.6
Djibouti,58.6,3.2
Djibouti,58.1,29.8
Djibouti,58,29.4
Djibouti,57.9,29
Djibouti,57.7,28.6
Djibouti,57.4,28.2
Dominica,,58.4
Dominican Republic,73.9,58.9
Dominican Republic,73.6,57.9
Dominican Republic,73.4,56.8
Dominican Republic,72.1,55.8
Dominican Republic,73.1,54.7
Dominican Republic,72.7,53.6
Dominican Republic,73.6,52.6
Dominican Republic,73.3,51.5
Dominican Republic,72.9,5.4
Dominican Republic,72.3,49.3
Dominican Republic,69.7,48.2
Dominican Republic,69.3,47.2
Dominican Republic,73,46.1
Dominican Republic,71.4,45.1
Dominican Republic,71.2,44.1
Dominican Republic,72,43.1
Ecuador,76.2,54.2
Ecuador,76,53.5
Ecuador,76,52.8
Ecuador,75.5,52.1
Ecuador,75.3,51.4
Ecuador,75,5.7
Ecuador,75.1,5
Ecuador,74.6,49.3
Ecuador,74.7,48.6
Ecuador,74.4,47.9
Ecuador,74.2,47.2
Ecuador,74.4,46.5
Ecuador,74.4,45.8
Ecuador,73.6,45.1
Ecuador,73.4,44.3
Ecuador,72.8,43.6
Egypt,79,61.1
Egypt,78,6.2
Egypt,79,59.4
Egypt,72,58.6
Egypt,74,57.8
Egypt,70,57
Egypt,69.9,56.2
Egypt,69.8,55.5
Egypt,69.7,54.8
Egypt,69.5,54.2
Egypt,69.4,53.5
Egypt,69,52.9
Egypt,68.6,52.3
Egypt,68.7,51.8
Egypt,68.6,51.2
Egypt,68.8,5.7
El Salvador,73.5,56.1
El Salvador,73.3,55.4
El Salvador,73,54.7
El Salvador,73,54.1
El Salvador,72,53.4
El Salvador,72,52.8
El Salvador,71.4,52.1
El Salvador,71.7,51.4
El Salvador,71.2,5.8
El Salvador,75,5.1
El Salvador,71,49.4
El Salvador,70,48.6
El Salvador,69.9,47.8
El Salvador,73,47
El Salvador,68.9,46.2
El Salvador,69,45.3
Equatorial Guinea,58.2,24.5
Equatorial Guinea,57.9,24
Equatorial Guinea,57.4,23.5
Equatorial Guinea,56.7,23
Equatorial Guinea,56.2,22.6
Equatorial Guinea,56.1,22.1
Equatorial Guinea,55.7,21.7
Equatorial Guinea,55.4,21.3
Equatorial Guinea,55,2.9
Equatorial Guinea,54.8,2.5
Equatorial Guinea,54.4,2.2
Equatorial Guinea,54.1,19.8
Equatorial Guinea,53.8,19.5
Equatorial Guinea,53.5,19.1
Equatorial Guinea,53.1,18.7
Equatorial Guinea,52.7,18.3
Eritrea,64.7,18.6
Eritrea,64.4,18
Eritrea,64,17.5
Eritrea,63.6,17
Eritrea,62.9,16.5
Eritrea,62.1,16
Eritrea,61.4,15.5
Eritrea,67,15.1
Eritrea,62,14.7
Eritrea,59.7,14.3
Eritrea,59.4,13.9
Eritrea,59.1,13.6
Eritrea,58.8,13.3
Eritrea,58.5,13.1
Eritrea,58.1,12.8
Eritrea,45.3,12.6
Estonia,77.6,59.9
Estonia,77.3,59.4
Estonia,76.9,59
Estonia,76.3,58.5
Estonia,76.1,58
Estonia,75.6,57.6
Estonia,74.9,57.1
Estonia,74.2,56.7
Estonia,73,56.3
Estonia,73,55.9
Estonia,72.8,55.5
Estonia,72.3,55.2
Estonia,71.9,54.9
Estonia,71.2,54.6
Estonia,78,54.3
Estonia,78,54
Ethiopia,64.8,17.6
Ethiopia,64.2,17.2
Ethiopia,63.7,16.8
Ethiopia,63.3,16.4
Ethiopia,62.6,16
Ethiopia,61.8,15.6
Ethiopia,68,15.3
Ethiopia,59.8,14.9
Ethiopia,58.5,14.5
Ethiopia,57.2,14.2
Ethiopia,56,13.8
Ethiopia,55,13.5
Ethiopia,54,13.2
Ethiopia,53.2,12.9
Ethiopia,52.5,12.6
Ethiopia,51.2,12.3
Fiji,69.9,62.7
Fiji,69.7,61.9
Fiji,69.6,61.1
Fiji,69.4,6.2
Fiji,69.2,59.5
Fiji,69.1,58.7
Fiji,68.9,58
Fiji,68.7,57.3
Fiji,68.6,56.6
Fiji,68.5,55.9
Fiji,68.3,55.1
Fiji,68.1,54.2
Fiji,68,53.2
Fiji,67.9,52.2
Fiji,67.8,51.2
Fiji,67.7,5.2
Finland,81.1,62.1
Finland,89,61.7
Finland,87,61.4
Finland,84,61
Finland,83,6.6
Finland,79.9,6.2
Finland,79.7,59.8
Finland,79.6,59.4
Finland,79.3,59
Finland,79.2,58.6
Finland,78.9,58.1
Finland,78.7,57.6
Finland,78.4,57.1
Finland,78.1,56.6
Finland,78,56.1
Finland,77.5,55.5
France,82.4,62.5
France,82.2,62
France,82,61.6
France,81.5,61.1
France,81.7,6.6
France,81.3,6.1
France,81.1,59.6
France,89,59.1
France,89,58.6
France,86,58
France,81,57.5
France,82,57
France,79.3,56.4
France,79.2,55.8
France,79,55.2
France,78.8,54.6
Gabon,66,36.3
Gabon,65.5,35.8
Gabon,64.6,35.2
Gabon,63.5,34.6
Gabon,62.8,34.1
Gabon,62.3,33.5
Gabon,61.7,33
Gabon,61.6,32.4
Gabon,61.6,31.9
Gabon,61.4,31.4
Gabon,65,3.8
Gabon,59.7,3.3
Gabon,59.7,29.8
Gabon,59.7,29.2
Gabon,59.8,28.7
Gabon,61,28.1
Gambia,61.1,27.3
Gambia,68,26.7
Gambia,66,26
Gambia,62,25.4
Gambia,59.8,24.8
Gambia,59.3,24.1
Gambia,59,23.5
Gambia,58.7,22.8
Gambia,58.5,22.2
Gambia,58.2,21.5
Gambia,57.7,2.9
Gambia,57.3,2.3
Gambia,57,19.7
Gambia,56.6,19.1
Gambia,56.3,18.5
Gambia,55.9,18
Georgia,74.4,56.2
Georgia,74.5,55.3
Georgia,74.5,54.4
Georgia,74.2,53.6
Georgia,73.9,52.8
Georgia,73.8,52
Georgia,73.2,51.3
Georgia,73.9,5.5
Georgia,74.4,49.9
Georgia,73.9,49.2
Georgia,73.9,48.6
Georgia,72.3,48.1
Georgia,72.7,47.5
Georgia,71.7,47
Georgia,73,46.5
Georgia,71.8,46
Germany,81,62.3
Germany,89,61.9
Germany,86,61.4
Germany,86,6.9
Germany,85,6.4
Germany,81,59.9
Germany,80,59.5
Germany,79.9,59
Germany,79.8,58.5
Germany,79.6,58
Germany,79.2,57.6
Germany,79.1,57.1
Germany,78.5,56.6
Germany,78.4,56.1
Germany,78.3,55.6
Germany,78,55.1
Ghana,62.4,28.6
Ghana,62.1,28
Ghana,61.9,27.3
Ghana,61.6,26.7
Ghana,61.2,26.1
Ghana,69,25.5
Ghana,66,24.9
Ghana,63,24.2
Ghana,59.9,23.6
Ghana,59.4,23
Ghana,58.9,22.4
Ghana,58.3,21.8
Ghana,57.9,21.2
Ghana,57.6,2.7
Ghana,57.4,2.1
Ghana,57.2,19.5
Greece,81,66.5
Greece,88,66
Greece,86,65.4
Greece,84,64.9
Greece,85,64.3
Greece,83,63.7
Greece,80,63.1
Greece,79.9,62.4
